Country,Year,GHG Energy,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP
Venezuela,1971,322.2690723,275821.7178,46.44735455,0.610314893,28.82731397,16.92615887,9.227109255,0.329601668,61.375,0.15,0.149,3.922
Other Non-OECD Americas,1971,,,6.66616894,0.119129731,6.509642971,0.005234861,3.244741279,0.97261458,38.047,0.156,0.135,1.524
Bahrain,1971,8.948303655,6047.225359,2.901078296,0,1.115726309,1.785351988,0.324061605,0.433690499,49.052,1.172,0.583,12.527
Islamic Rep. of Iran,1971,187.4852073,148250.3263,39.23488104,0.426985179,33.25944834,5.520308695,1.076571968,7.095302634,55.994,0.227,0.084,1.329
Iraq,1971,42.87529299,32463.09494,10.41219805,0,8.623544355,1.786059431,0.261364377,0.239167642,61.369,1.645,0.79,1.016
Jordan,1971,1.369460675,0.9118123,1.368548863,0,1.368209874,0.0,0.0,0.117989151,65.564,0.288,0.127,0.826
Kuwait,1971,70.49251925,56350.63033,14.14188892,0,4.119807254,10.01963398,6.358283083,0.347484303,52.771,0.27,0.171,16.331
Lebanon,1971,4.674689696,1.95173,4.672737966,0.011617454,4.626056996,0.0,0.719226737,0.286947783,59.206,0.167,0.084,1.876
Oman,1971,15.30619942,15045.70212,0.260497299,0,0.260497299,0.0,3.889349901,0.012702739,72.129,0.035,0.018,0.372
Qatar,1971,13.68648978,11437.02916,2.24946062,0,0.309030314,1.939699346,0.0,0.0,57.582,0.117,0.079,16.846
Saudi Arabia,1971,88.42740646,75641.58442,12.78582204,0,10.07911509,2.706380589,40.47274958,0.475146243,52.38,0.084,0.036,1.982
Syrian Arab Republic ,1971,14.80938529,9322.58774,5.486797546,0.019137709,5.467481959,0.0,0.782881423,0.239061679,54.558,0.988,1.15,0.831
United Arab Emirates,1971,42.39037708,39914.00764,2.476369441,0,0.416892212,2.059477229,0.0,0.022216729,58.122,0.127,0.075,7.14
Yemen,1971,1.229621391,1.1169253,1.228504466,0,1.223876079,0.0,1.138596005,0.085994567,39.062,0.21,0.13,0.171
Canada,1972,385.8559123,22350.65423,363.505258,59.74344993,224.4066136,78.19661892,3.39603721,1.3393379,56.054,0.717,0.7,16.109
Chile,1972,21.6806182,379.656585,21.30096162,4.404543511,15.26646143,1.205946041,0.612961497,0.432367633,55.782,0.462,0.276,2.084
Colombia,1972,33.43495928,4525.961553,28.90899773,6.081133004,18.39921774,3.211318837,0.990160371,0.625144954,47.074,,,1.214
Costa Rica,1972,,,1.498656309,0.002506452,1.44492407,0.0,0.024891892,0.0,39.491,0.144,0.098,0.755
Mexico,1972,132.4544831,22917.1583,109.5373248,5.825574413,80.86493956,20.99657917,0.295590445,1.619961287,53.482,0.352,0.185,1.927
United States,1972,4843.507421,262635.8787,4580.871542,1178.279159,2188.914724,1210.073551,22.58083842,15.82013278,64.879,0.803,0.803,21.57
Australia,1972,158.6529998,7690.095857,150.9629039,79.74226855,64.51109881,5.821039335,4.493320129,1.654509986,66.669,0.449,0.497,11.069
Israel,1972,14.57458441,13.749635,14.56083477,0.005721631,14.53050915,0.02324804,0.0,2.072186676,62.338,0.264,0.267,4.475
Japan,1972,801.8593967,7171.8221,794.6875746,207.8747275,578.0681959,8.744651168,48.73491219,4.04718596,65.907,0.475,0.406,7.413
Korea,1972,68.14205935,11424.75804,56.71730131,24.64488203,32.07241928,0.0,1.955876834,0.0,70.929,0.726,0.55,1.637
New Zealand,1972,15.82295481,88.89537,15.73405944,4.165499497,11.08733306,0.481226877,1.097418566,0.636349856,48.619,0.248,0.255,5.311
Austria,1972,,,51.38260319,15.63048503,29.53894663,5.992810675,0.0,0.279779502,60.739,0.327,0.29,6.682
Belgium,1972,,,129.4167071,46.97939164,68.01452123,14.42279418,9.078697484,1.315946447,70.349,0.678,0.602,13.198
Czech Republic,1972,,,155.7373414,132.1955118,21.51243908,2.029390586,0.0,0.698296499,79.961,2.209,1.162,15.445
